epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
139,0.126377,0.891698,0.885891,0.902611,0.994835,0.916754,0.919764,0.917066,0.999559,0.923434,0.926618,0.922822,0.999018,0.834906,0.811291,0.867944,0.985929,153.62
140,0.124499,0.891828,0.887024,0.904618,0.999414,0.918828,0.920730,0.919169,0.999573,0.927480,0.927958,0.928174,0.999062,0.829178,0.812382,0.866511,0.999606,152.58
141,0.129453,0.886596,0.883262,0.896544,0.997092,0.908752,0.914956,0.908219,0.999515,0.921860,0.926480,0.919813,0.999000,0.829174,0.808351,0.861601,0.992763,154.53
142,0.127426,0.889044,0.884954,0.898258,0.994821,0.915978,0.917596,0.917044,0.999539,0.922099,0.925561,0.920914,0.998998,0.829055,0.811705,0.856816,0.985924,151.89
143,0.124185,0.887908,0.883442,0.898212,0.992547,0.920399,0.922766,0.920510,0.999548,0.924248,0.924251,0.926472,0.999023,0.819078,0.803310,0.847655,0.979068,152.20
144,0.146946,0.869368,0.869765,0.882703,0.994680,0.889805,0.895857,0.896988,0.999391,0.906816,0.914041,0.906880,0.998792,0.811483,0.799395,0.844239,0.985855,153.24
145,0.151910,0.867278,0.872588,0.874138,0.996952,0.879097,0.895769,0.877297,0.999354,0.905472,0.916413,0.900248,0.998776,0.817266,0.805580,0.844867,0.992725,153.13
146,0.127116,0.890011,0.887593,0.898292,0.999372,0.910297,0.913938,0.910962,0.999520,0.919053,0.924024,0.917178,0.998976,0.840684,0.824818,0.866736,0.999621,152.43
147,0.121729,0.893924,0.889597,0.903917,0.999393,0.920207,0.921665,0.920904,0.999557,0.923910,0.922877,0.927379,0.998996,0.837653,0.824247,0.863467,0.999628,152.36
148,0.118017,0.896986,0.894063,0.904746,0.997136,0.922948,0.928917,0.919147,0.999577,0.927041,0.928150,0.927521,0.999046,0.840969,0.825120,0.867570,0.992786,152.50
149,0.114927,0.900516,0.895753,0.907861,0.997150,0.924565,0.925091,0.925349,0.999589,0.928309,0.929489,0.928596,0.999064,0.848674,0.832680,0.869637,0.992796,151.03
150,0.113513,0.901123,0.893433,0.910257,0.997166,0.927197,0.928426,0.927082,0.999600,0.930360,0.932672,0.929243,0.999101,0.845812,0.819200,0.874447,0.992796,151.99
