epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
33,0.529423,0.779298,0.711998,0.928783,0.998804,0.841781,0.811440,0.897817,0.999187,0.889822,0.854754,0.934441,0.998584,0.606290,0.469800,0.954091,0.998640,152.86
34,0.516789,0.768246,0.707250,0.907941,0.994119,0.829921,0.808084,0.881093,0.999084,0.872731,0.841892,0.920301,0.998307,0.602086,0.471774,0.922430,0.984966,155.83
35,0.497968,0.774805,0.711856,0.920052,0.998800,0.837787,0.810693,0.893256,0.999146,0.885140,0.857552,0.923697,0.998560,0.601487,0.467322,0.943204,0.998694,154.00
36,0.478552,0.787480,0.729806,0.921906,0.998866,0.850699,0.831978,0.892406,0.999224,0.897039,0.874644,0.925497,0.998685,0.614702,0.482797,0.947814,0.998691,155.40
37,0.465036,0.794171,0.737029,0.915670,0.996604,0.849474,0.827735,0.895787,0.999203,0.890814,0.871150,0.919033,0.998628,0.642226,0.512202,0.932191,0.991981,154.88
38,0.446344,0.804282,0.746676,0.924518,0.998972,0.859238,0.837577,0.901017,0.999257,0.902085,0.883808,0.924810,0.998754,0.651523,0.518642,0.947726,0.998904,151.77
39,0.434735,0.805720,0.754123,0.915556,0.996691,0.863379,0.851753,0.892266,0.999284,0.896797,0.881853,0.918011,0.998696,0.656983,0.528764,0.936391,0.992094,154.51
40,0.418184,0.812985,0.760762,0.914797,0.994465,0.871046,0.849768,0.906271,0.999300,0.901954,0.888494,0.920303,0.998750,0.665954,0.544026,0.917816,0.985346,153.48
41,0.401727,0.822005,0.775354,0.915208,0.999059,0.875832,0.859983,0.904103,0.999319,0.901700,0.894443,0.913232,0.998762,0.688482,0.571637,0.928290,0.999096,154.30
42,0.387540,0.829751,0.785154,0.910981,0.996812,0.877585,0.865216,0.900121,0.999334,0.904840,0.894917,0.918620,0.998774,0.706827,0.595330,0.914202,0.992328,153.96
43,0.376125,0.826894,0.783961,0.913628,0.996831,0.878191,0.865155,0.903135,0.999339,0.906835,0.898269,0.919097,0.998810,0.695655,0.588459,0.918652,0.992344,153.83
44,0.363773,0.835207,0.791966,0.913938,0.999134,0.883283,0.869646,0.905160,0.999360,0.908334,0.900147,0.919736,0.998823,0.714003,0.606106,0.916918,0.999220,155.16
45,0.350415,0.836723,0.797719,0.907235,0.992320,0.886333,0.876996,0.904733,0.999393,0.909006,0.900307,0.921037,0.998836,0.714829,0.615854,0.895935,0.978731,152.95
46,0.342155,0.840479,0.800732,0.911609,0.996869,0.886776,0.875291,0.905941,0.999383,0.906527,0.900011,0.917010,0.998793,0.728133,0.626894,0.911875,0.992431,153.22
47,0.332455,0.843205,0.805583,0.910822,0.996910,0.886639,0.877683,0.906577,0.999419,0.908935,0.901313,0.920316,0.998856,0.734041,0.637753,0.905572,0.992454,149.88
48,0.325941,0.849173,0.813629,0.911165,0.999171,0.890301,0.881767,0.907895,0.999389,0.908543,0.901741,0.919714,0.998814,0.748675,0.657380,0.905885,0.999312,153.46
49,0.319348,0.843404,0.809519,0.905531,0.999186,0.884763,0.874949,0.904540,0.999394,0.909269,0.907787,0.914334,0.998839,0.736180,0.645819,0.897718,0.999326,153.79
50,0.310790,0.847989,0.812938,0.909821,0.999208,0.894061,0.884952,0.908226,0.999428,0.909946,0.902090,0.921147,0.998857,0.739960,0.651772,0.900090,0.999337,153.12
51,0.305296,0.850380,0.816400,0.909985,0.999227,0.889321,0.879286,0.907935,0.999436,0.910283,0.906234,0.917319,0.998871,0.751535,0.663680,0.904700,0.999376,151.19
52,0.296782,0.857437,0.825149,0.911705,0.999240,0.903027,0.895071,0.915366,0.999451,0.915753,0.910874,0.923006,0.998897,0.753531,0.669503,0.896744,0.999372,153.37
53,0.292458,0.858513,0.825304,0.912614,0.999248,0.900910,0.891516,0.915171,0.999462,0.915622,0.910236,0.923402,0.998904,0.759006,0.674160,0.899270,0.999378,152.89
54,0.289714,0.855517,0.824409,0.908068,0.996962,0.895830,0.893311,0.903336,0.999439,0.914358,0.909801,0.920939,0.998906,0.756362,0.670117,0.899930,0.992540,151.75
55,0.284860,0.852745,0.822607,0.904733,0.994680,0.901037,0.892333,0.914468,0.999453,0.912888,0.908868,0.919017,0.998900,0.744310,0.666621,0.880715,0.985687,154.81
56,0.279216,0.860535,0.831463,0.908267,0.994705,0.904906,0.899090,0.913522,0.999478,0.917320,0.912899,0.923752,0.998927,0.759379,0.682399,0.887527,0.985710,149.62
57,0.275887,0.862545,0.833586,0.913078,0.999273,0.904968,0.898445,0.916935,0.999477,0.917668,0.914229,0.923051,0.998933,0.764999,0.688085,0.899249,0.999409,151.57
58,0.275004,0.862135,0.832129,0.909966,0.996998,0.906726,0.901699,0.914748,0.999479,0.915845,0.911440,0.922157,0.998935,0.763833,0.683248,0.892992,0.992580,152.82
59,0.269897,0.861489,0.831916,0.909786,0.997006,0.905545,0.899812,0.915064,0.999496,0.918054,0.913621,0.924104,0.998948,0.760867,0.682314,0.890190,0.992573,157.06
60,0.269809,0.866466,0.840050,0.908624,0.994716,0.905035,0.899807,0.917198,0.999488,0.917283,0.914278,0.922166,0.998939,0.777081,0.706065,0.886509,0.985720,152.09
