epoch,phase,loss,time_seconds,avg_accuracy,COVID19_accuracy,NORMAL_accuracy,PNEUMONIA_accuracy,TURBERCULOSIS_accuracy,avg_precision,COVID19_precision,NORMAL_precision,PNEUMONIA_precision,TURBERCULOSIS_precision,avg_recall,COVID19_recall,NORMAL_recall,PNEUMONIA_recall,TURBERCULOSIS_recall,avg_f1,COVID19_f1,NORMAL_f1,PNEUMONIA_f1,TURBERCULOSIS_f1,avg_auc,COVID19_auc,NORMAL_auc,PNEUMONIA_auc,TURBERCULOSIS_auc
1,train,0.3643520367642244,7.56525182723999,0.95859375,0.9723958333333333,0.946875,0.9385416666666667,0.9765625,0.8842736213357002,0.8395604395604396,0.8794048551292091,0.949753122277084,0.8683760683760684,0.8855253915246103,0.8162393162393162,0.8807843137254902,0.9475514343668502,0.8975265017667845,0.8847978439385524,0.8277356446370531,0.8800940438871473,0.9486510008703221,0.8827106863596872,0.9799113216037827,0.9787112138302615,0.9764043106651803,0.9767639108629519,0.9877658510567372
2,train,0.11425618388586574,4.193895578384399,0.984548611111111,0.9930555555555556,0.9756944444444444,0.9753472222222223,0.9940972222222222,0.9648062548395889,0.9586056644880174,0.9553072625698324,0.9752944556162022,0.9700176366843033,0.9606658850822228,0.9544468546637744,0.9344262295081968,0.9837728194726166,0.9700176366843033,0.9627015121081002,0.9565217391304348,0.9447513812154696,0.9795152914021927,0.9700176366843033,0.9969463686663519,0.9983171220043564,0.9945832742929578,0.9956533082909543,0.9992317700771388
3,train,0.08061275822627875,4.12298583984375,0.9879340277777777,0.9939236111111112,0.9807291666666667,0.98125,0.9958333333333333,0.9711496388116481,0.9592274678111588,0.9627870150435471,0.9821222606689735,0.9804618117229129,0.9697770766695806,0.9654427645788337,0.95,0.9866743916570104,0.9769911504424779,0.9704480788454893,0.9623250807319699,0.9563507668108533,0.9843930635838151,0.9787234042553191,0.9979689713897831,0.997379420520438,0.9971754673549108,0.9974722663474921,0.9998487313362917
4,train,0.06388506079610023,4.121948957443237,0.9894965277777777,0.9951388888888889,0.9829861111111111,0.9822916666666667,0.9975694444444444,0.9775148306859467,0.9759825327510917,0.9623529411764706,0.9841132293471981,0.9876106194690265,0.974552752230692,0.9633620689655172,0.9608457321848082,0.9863925883034164,0.9876106194690265,0.976023048126949,0.9696312364425163,0.9615987460815048,0.9852515905147484,0.9876106194690265,0.9987174841773815,0.9986302284092092,0.9981288399873464,0.9981807108266193,0.999930157486351
5,train,0.04510974729847577,4.429107189178467,0.9913194444444444,0.9963541666666667,0.9862847222222222,0.9861111111111112,0.9965277777777778,0.9806107189067229,0.974304068522484,0.9769291964996022,0.9852941176470589,0.9859154929577465,0.9780213105895249,0.9806034482758621,0.9608763693270735,0.9915844457341846,0.9790209790209791,0.979291328805897,0.9774436090225563,0.968836291913215,0.9884292739369396,0.9824561403508771,0.998343202929056,0.9982843264923428,0.9982243353521896,0.9986471105501801,0.9982170393215111
6,train,0.04623704863867412,4.164277791976929,0.9934895833333334,0.9970486111111111,0.9897569444444444,0.9887152777777778,0.9984375,0.9865421566503156,0.9869281045751634,0.978740157480315,0.9893187066974596,0.9911816578483245,0.9840059324017985,0.9762931034482759,0.9749019607843137,0.9918958031837916,0.9929328621908127,0.9852652883319424,0.9815817984832069,0.9768172888015717,0.990605578840873,0.9920564872021183,0.9994454193761488,0.9994306861391811,0.9991936520427569,0.9992090434498714,0.9999482958727861
7,train,0.021128996673764455,4.144548654556274,0.9966145833333333,0.9984375,0.9944444444444445,0.9939236111111112,0.9996527777777777,0.9933284558784259,0.9913606911447084,0.9897959183673469,0.9939271255060729,0.9982300884955753,0.9921384203236909,0.9892241379310345,0.98515625,0.9959432048681541,0.9982300884955753,0.9927315322002376,0.9902912621359223,0.9874706342991386,0.9949341438703141,0.9982300884955753,0.9998348627329052,0.9999312265600583,0.999693603515625,0.9997170057222572,0.9999976151336804
8,train,0.024904993918284567,4.482340335845947,0.9961805555555556,0.9991319444444444,0.9925347222222223,0.9930555555555556,1.0,0.9934158275226121,0.9956803455723542,0.9843505477308294,0.9936324167872649,1.0,0.9925909701076587,0.9935344827586207,0.9820452771272443,0.9947841205447696,1.0,0.9930026882569386,0.9946062567421791,0.9831965611567018,0.9942079351288734,1.0,0.999831986212748,0.9999580848265445,0.9996076756148348,0.9997621844096132,1.0
9,train,0.016921532457409842,4.22862982749939,0.9978298611111112,0.9982638888888888,0.9973958333333334,0.9967013888888889,0.9989583333333333,0.9938946814750823,0.9892703862660944,0.9945141065830722,0.9971039675644368,0.9946902654867257,0.9937721961653425,0.9892703862660944,0.9937353171495693,0.9973928157589803,0.9946902654867257,0.9938333954601518,0.9892703862660944,0.9941245593419507,0.9972483707458364,0.9946902654867257,0.9999461296220769,0.9999554115031837,0.9999192983639053,0.9999186666961207,0.9999911419250982
10,train,0.022031824328264015,4.400439977645874,0.9963541666666667,0.9980902777777778,0.9944444444444445,0.9940972222222222,0.9987847222222223,0.9908010061035029,0.9829059829059829,0.98671875,0.9953650057937428,0.9982142857142857,0.9914881527424277,0.9935205183585313,0.9882629107981221,0.9947886508396062,0.9893805309734514,0.9911323742400512,0.9881847475832438,0.9874902267396404,0.9950767448595425,0.9937777777777778,0.9997851331935385,0.999844649014826,0.9997026883398662,0.9997250444574235,0.9998681509620381
1,val,0.24191031962012252,0.43967247009277344,0.9602864583333333,0.99609375,0.92578125,0.9244791666666666,0.9947916666666666,0.9636375755421258,0.9741379310344828,1.0,0.8804123711340206,1.0,0.8955244122965642,1.0,0.6392405063291139,1.0,0.9428571428571428,0.9184535218269012,0.9868995633187773,0.7799227799227799,0.9364035087719298,0.9705882352941176,0.9948905339740588,0.9996216983043977,0.9871238846233659,0.9928574862472271,0.9999590667212445
2,val,0.15414959557044008,0.38347387313842773,0.9759114583333334,0.99609375,0.9557291666666666,0.9583333333333334,0.9934895833333334,0.9669840066923627,0.9741379310344828,0.9558823529411765,0.9379157427937915,1.0,0.9354971392997955,1.0,0.8227848101265823,0.990632318501171,0.9285714285714286,0.9494424496325118,0.9868995633187773,0.8843537414965986,0.9635535307517085,0.9629629629629629,0.9960106347722305,0.9998378707018848,0.9898837933181158,0.9944027416264327,0.9999181334424887
3,val,0.1089116227425014,0.34813380241394043,0.9856770833333334,0.9973958333333334,0.97265625,0.97265625,1.0,0.9730499726551818,0.9826086956521739,0.9308176100628931,0.9787735849056604,1.0,0.9771514540657517,1.0,0.9367088607594937,0.9718969555035128,1.0,0.9750762906573243,0.9912280701754386,0.9337539432176656,0.9753231492361927,1.0,0.9961903732977083,0.9999729784503141,0.9904544511309401,0.9943340636095793,1.0
4,val,0.18395768641494215,0.37636399269104004,0.9720052083333334,0.9973958333333334,0.9466145833333334,0.9453125,0.9986979166666666,0.9737035657759985,0.9826086956521739,1.0,0.9122055674518201,1.0,0.9309696736133757,1.0,0.740506329113924,0.9976580796252927,0.9857142857142858,0.9469907626771001,0.9912280701754386,0.850909090909091,0.9530201342281879,0.9928057553956835,0.9965007473823969,1.0,0.9912222452791035,0.9948216775292397,0.9999590667212445
5,val,0.16863499186971845,0.3596029281616211,0.9765625,0.984375,0.96875,0.9661458333333334,0.9869791666666666,0.9471381589165346,1.0,0.958904109589041,0.9546485260770975,0.875,0.9414574342133395,0.8938053097345132,0.8860759493670886,0.9859484777517564,1.0,0.9420893203766123,0.9439252336448598,0.9210526315789473,0.9700460829493087,0.9333333333333333,0.9958912810117344,0.9981355130716747,0.9907345922390537,0.9952680846387879,0.9994269340974212
