epoch,phase,loss,time_seconds,avg_accuracy,adenocarcinoma_accuracy,benign_accuracy,squamous_cell_carcinoma_accuracy,avg_precision,adenocarcinoma_precision,benign_precision,squamous_cell_carcinoma_precision,avg_recall,adenocarcinoma_recall,benign_recall,squamous_cell_carcinoma_recall,avg_f1,adenocarcinoma_f1,benign_f1,squamous_cell_carcinoma_f1,avg_auc,adenocarcinoma_auc,benign_auc,squamous_cell_carcinoma_auc
1,train,0.11497522619097157,12.372094631195068,0.9768949468085107,0.9664228723404256,0.9936003989361702,0.9706615691489362,0.9653679953849225,0.9573820395738204,0.9895444361463779,0.9491775104345691,0.9653427083670021,0.941147132169576,0.9912718204488778,0.9636091724825523,0.965313815110402,0.9491951710261569,0.9904073751090071,0.9563388991960421,0.9956988057570384,0.9931479733724775,0.9996481931546104,0.9943002507440274
2,train,0.03756000061749798,9.035909175872803,0.9908577127659575,0.9863696808510638,0.9981715425531915,0.988031914893617,0.986289195257914,0.9810047488127968,0.9972561736093789,0.9806066633515664,0.9862895297064402,0.9780712683777723,0.9972561736093789,0.9835411471321696,0.9862878996950716,0.9795358123284252,0.9972561736093789,0.9820717131474104,0.9992162508485171,0.9987820478817332,0.9999766510643338,0.9988900535994842
3,train,0.013168498080321637,8.99768590927124,0.9961768617021277,0.9942652925531915,0.9996675531914894,0.9945977393617021,0.9942635014749541,0.9924924924924925,0.9995019920318725,0.9907960199004975,0.9942611205080651,0.9902621722846442,0.9995019920318725,0.9930191972076788,0.9942614776220343,0.9913760779902512,0.9995019920318725,0.9919063628439796,0.999784854960465,0.9996600891466955,0.9999698995932438,0.9997245761414556
4,train,0.019421983348907584,8.984596967697144,0.9955119680851063,0.9935172872340425,0.9993351063829787,0.9936835106382979,0.9932699949716782,0.991006744941294,0.999002244948865,0.9898009950248756,0.9932687783660986,0.989523571963083,0.999002244948865,0.9912805181863478,0.9932690173922197,0.9902646030953569,0.999002244948865,0.9905402041324372,0.9998493585290968,0.9997606656368055,0.9999974194917972,0.9997899904586877
5,train,0.017082742390057512,8.9705650806427,0.996232269503546,0.9943484042553191,0.999501329787234,0.9948470744680851,0.994349600570323,0.9907983088783885,0.9992522432701895,0.9929982495623906,0.9943472696427699,0.9922789539227895,0.9992522432701895,0.9915106117353308,0.99434806499325,0.9915380786460926,0.9992522432701895,0.9922538730634682,0.9998979471337371,0.9998373009036993,0.9999984149795003,0.9998581255180121
6,train,0.016028393188657612,8.465566158294678,0.9961214539007092,0.9941821808510638,0.999750664893617,0.9944315159574468,0.9941840517581859,0.9915233108950386,0.999750499001996,0.991278345377523,0.9941834092815244,0.9910291552454523,0.9995011224744326,0.9920199501246882,0.9941836585898719,0.9912761714855434,0.9996257951852314,0.9916490090988408,0.999872274039078,0.9998045384797699,0.9999996890953973,0.9998125945420666
7,train,0.006738865683318897,8.460783243179321,0.9983931737588652,0.9975897606382979,0.9999168882978723,0.9976728723404256,0.9975891525242294,0.9962593516209476,0.9997508098679292,0.9967572960838115,0.9975893805131424,0.9965078573210276,1.0,0.9962602842183994,0.9975892355212775,0.9963835889761816,0.9998753894080997,0.9965087281795512,0.99998389705428,0.9999746923653364,1.0,0.9999769987975033
8,train,0.022597858592080036,8.450812578201294,0.9952349290780141,0.992935505319149,0.9988364361702128,0.9939328457446809,0.9928511817001788,0.9892821535393819,0.9982556690755046,0.9910157224856501,0.9928509759869583,0.9895287958115183,0.9982556690755046,0.9907684630738522,0.9928510685783212,0.9894054593044995,0.9982556690755046,0.9908920773549594,0.999696042919911,0.9995190883715835,0.9999872281900136,0.9995818121981361
9,train,0.008198547129713334,8.467581510543823,0.9983377659574469,0.9975066489361702,0.9996675531914894,0.9978390957446809,0.9975069803679366,0.9955123410620793,0.9995011224744326,0.9975074775672981,0.9975075957185506,0.997003745318352,0.9995011224744326,0.9960179193628671,0.9975069164906647,0.9962574850299402,0.9995011224744326,0.9967621419676215,0.9999640580924668,0.9999424849995185,0.9999995025526356,0.9999501867252467
10,train,0.011078978965432716,8.505762815475464,0.9970079787234042,0.9960106382978723,0.9975066489361702,0.9975066489361702,0.9955116254352642,0.9950037471896078,0.9960109698329593,0.9955201592832255,0.9955120092031547,0.9930191972076788,0.9965078573210276,0.9970089730807578,0.9955112810802292,0.9940104816571,0.9962593516209476,0.9962640099626401,0.9999149720624594,0.9998512692514236,0.9999549810135222,0.9999386659224322
1,val,0.4209266997911527,0.6575610637664795,0.9444444444444445,0.9166666666666666,0.9993489583333334,0.9173177083333334,0.9342431157883159,0.8100303951367781,0.998003992015968,0.9946949602122016,0.9148009950248756,0.9944029850746269,1.0,0.75,0.9156621534417012,0.8927973199329984,0.999000999000999,0.855188141391106,0.9880583184463781,0.9927985074626865,0.9995463320463321,0.9718301158301158
2,val,0.3686582510835403,0.5665686130523682,0.9253472222222223,0.8880208333333334,1.0,0.8880208333333334,0.9146825396825397,1.0,1.0,0.7440476190476191,0.8930348258706468,0.6791044776119403,1.0,1.0,0.8873770699026672,0.8088888888888889,1.0,0.8532423208191127,0.9992029476171268,0.9986455223880597,1.0,0.9989633204633205
3,val,0.006685525178018755,0.5552451610565186,0.9973958333333334,0.99609375,1.0,0.99609375,0.9960955180526335,0.9962546816479401,1.0,0.9920318725099602,0.9961791044776119,0.9925373134328358,1.0,0.996,0.9961348331374634,0.994392523364486,1.0,0.9940119760479041,0.9999740486755412,0.9999626865671641,1.0,0.9999594594594594
4,val,0.028657749969570528,0.5577576160430908,0.9930555555555557,0.9895833333333334,0.9993489583333334,0.990234375,0.989582295003764,0.9961832061068703,0.998003992015968,0.974559686888454,0.9899601990049751,0.9738805970149254,1.0,0.996,0.9896899547087106,0.9849056603773585,0.999000999000999,0.9851632047477745,0.9998533442824487,0.9997723880597014,1.0,0.9997876447876448
5,val,0.008889451036035704,0.5651414394378662,0.9969618055555555,0.9954427083333334,0.9986979166666666,0.9967447916666666,0.9957028852056476,0.9871086556169429,1.0,1.0,0.9953333333333333,1.0,0.996,0.99,0.9954944593135426,0.9935125115848007,0.9979959919839679,0.9949748743718593,0.9999956251560729,0.9999888059701493,0.9999980694980695,1.0
6,val,0.04014972771397096,0.5501120090484619,0.9913194444444443,0.9869791666666666,0.9986979166666666,0.98828125,0.9870137925798552,0.9961538461538462,0.9960159362549801,0.9688715953307393,0.9874726368159203,0.9664179104477612,1.0,0.996,0.9871043729288779,0.9810606060606061,0.998003992015968,0.9822485207100592,0.9997765972262241,0.9995093283582089,0.9999961389961389,0.9998243243243243
