epoch,phase,loss,time_seconds,avg_accuracy,COVID19_accuracy,NORMAL_accuracy,PNEUMONIA_accuracy,TURBERCULOSIS_accuracy,avg_precision,COVID19_precision,NORMAL_precision,PNEUMONIA_precision,TURBERCULOSIS_precision,avg_recall,COVID19_recall,NORMAL_recall,PNEUMONIA_recall,TURBERCULOSIS_recall,avg_f1,COVID19_f1,NORMAL_f1,PNEUMONIA_f1,TURBERCULOSIS_f1,avg_auc,COVID19_auc,NORMAL_auc,PNEUMONIA_auc,TURBERCULOSIS_auc
1,train,0.7431869786646631,7.757542371749878,0.9315104166666666,0.95,0.9170138888888889,0.9032986111111111,0.9557291666666666,0.7946287246912164,0.6666666666666666,0.7932303164091243,0.9374244256348246,0.7811934900542495,0.8191379926013203,0.7692307692307693,0.8454901960784313,0.8985801217038539,0.7632508833922261,0.8056304979055019,0.7142857142857143,0.8185269552012149,0.9175913596685901,0.7721179624664879,0.9623440774002018,0.9633966122061361,0.9565939624456248,0.9589023285722946,0.9704834063767517
2,train,0.2181208559208446,4.175800323486328,0.9793402777777778,0.9873263888888889,0.9710069444444445,0.96875,0.9902777777777778,0.9479872679025843,0.9199134199134199,0.9550653594771242,0.9663530082691759,0.9506172839506173,0.9417821691646033,0.9219088937093276,0.912568306010929,0.9820341929875398,0.9506172839506173,0.9447477975982335,0.9209100758396533,0.9333333333333333,0.9741304972693303,0.9506172839506173,0.9916091937913442,0.9924190665041781,0.9886815024891074,0.9906078528841383,0.9947283532879528
3,train,0.12899692269663016,4.443529844284058,0.9849826388888888,0.9911458333333333,0.9776041666666667,0.9763888888888889,0.9947916666666666,0.9659544535758904,0.963963963963964,0.9549407114624506,0.9764367816091954,0.968476357267951,0.9578185010042458,0.9244060475161987,0.94375,0.9843568945538818,0.9787610619469026,0.9617638603806385,0.9437706725468578,0.9493123772102161,0.9803808424697057,0.9735915492957746,0.996409965151674,0.9960220361906634,0.9946852329799107,0.9953761765715904,0.9995564148645311
4,train,0.0965198266837332,4.524771451950073,0.9878472222222222,0.9956597222222222,0.9800347222222222,0.9779513888888889,0.9977430555555555,0.977260083736546,0.9803063457330415,0.9589257503949447,0.978705035971223,0.9911032028469751,0.9716697609533471,0.9655172413793104,0.9506656225528582,0.9846554719166184,0.9858407079646018,0.9744424003118464,0.9728555917480999,0.9547778214707039,0.9816712368307116,0.9884649511978705,0.9975735901601679,0.9976543780602145,0.9958379266596806,0.9971144734086603,0.9996875825121161
5,train,0.07107043436004055,4.441950559616089,0.9901909722222222,0.9953125,0.984375,0.984375,0.9967013888888889,0.9787271789621657,0.9739696312364425,0.9736842105263158,0.9830166954519286,0.9842381786339754,0.9741482550062048,0.9676724137931034,0.9553990610328639,0.9910040626813698,0.9825174825174825,0.9764092711581436,0.9708108108108108,0.9644549763033176,0.9869942196531792,0.9833770778652668,0.9974008388001541,0.9954926945515159,0.9978996144550382,0.9982504485804191,0.9979605976136431
6,train,0.05252830897354417,4.355298280715942,0.9944444444444445,0.9977430555555555,0.9911458333333333,0.9902777777777778,0.9986111111111111,0.9883564067463902,0.9870410367170627,0.9803767660910518,0.9913269731136166,0.9946808510638298,0.9870405970910421,0.9849137931034483,0.9796078431372549,0.9924746743849493,0.991166077738516,0.9876973167634056,0.9859762675296656,0.9799921537857984,0.9919004917558577,0.9929203539823008,0.9991043499236686,0.9988984041306386,0.9988139987321574,0.9989526323885344,0.9997523644433438
7,train,0.04143552756350902,4.29472017288208,0.9949652777777778,0.9979166666666667,0.9916666666666667,0.990625,0.9996527777777777,0.9914079195117595,0.9934497816593887,0.9858044164037855,0.9899048168445341,0.9964726631393298,0.9879150744349464,0.9806034482758621,0.9765625,0.9944943494639235,1.0,0.9896435006038973,0.9869848156182213,0.9811616954474097,0.9921942758022549,0.9982332155477032,0.9994451589995117,0.9993716793415981,0.9992021833147321,0.9992071140369052,0.9999996593048115
8,train,0.03582617156207561,4.2455689907073975,0.9952256944444444,0.9989583333333333,0.9913194444444444,0.9911458333333333,0.9994791666666667,0.9917410468469319,0.9956709956709957,0.983503534956795,0.9913294797687862,0.9964601769911504,0.9902206260948747,0.9913793103448276,0.9773614363778298,0.9939148073022313,0.99822695035461,0.9909766564523178,0.9935205183585313,0.980422866092404,0.992620460136015,0.9973427812223207,0.9994477311741872,0.9992390157828941,0.9992249371209108,0.9993525643109202,0.9999744074820238
9,train,0.030183089239936737,4.227836847305298,0.9971354166666668,0.9980902777777778,0.9960069444444445,0.9953125,0.9991319444444444,0.9931540552541317,0.9913606911447084,0.9906103286384976,0.9959455545902114,0.9946996466431095,0.9922647115129392,0.9849785407725322,0.9913860610806577,0.996234067207416,0.9964601769911504,0.9927065694143594,0.9881593110871906,0.9909980430528376,0.9960897900072412,0.995579133510168,0.9996820620358684,0.9996282940765399,0.9995393718303428,0.9995851122901651,0.9999754699464256
10,train,0.023757819132879377,4.181491851806641,0.9963541666666668,0.9991319444444444,0.9932291666666667,0.9935763888888889,0.9994791666666667,0.9930994974430432,0.9935344827586207,0.9843627834245504,0.9945007235890014,1.0,0.9925730705607435,0.9956803455723542,0.985133020344288,0.9947886508396062,0.9946902654867257,0.9928341850128589,0.9946062567421791,0.9847477512710208,0.9946446663771892,0.997338065661047,0.9995936609472795,0.9991934796622727,0.9996183656552833,0.9995672275090133,0.9999955709625491
1,val,0.31422629579901695,0.4152994155883789,0.9680989583333333,0.984375,0.953125,0.9518229166666666,0.9830729166666666,0.9419965401833428,0.9469026548672567,0.9841269841269841,0.9239130434782609,0.9130434782608695,0.9067572351750302,0.9469026548672567,0.7848101265822784,0.9953161592505855,0.9,0.9212258175356745,0.9469026548672567,0.8732394366197183,0.9582863585118376,0.9064748201438849,0.9902370000679258,0.9974869958792137,0.9798090890226188,0.9873563770972549,0.9962955382726156
2,val,0.16560329931477705,0.333721399307251,0.9791666666666666,0.9908854166666666,0.9674479166666666,0.96875,0.9895833333333334,0.9523338193123225,0.9732142857142857,0.9235668789808917,0.9696969696969697,0.9428571428571428,0.9498548269085523,0.9646017699115044,0.9177215189873418,0.9742388758782201,0.9428571428571428,0.9510858923008456,0.9688888888888889,0.9206349206349206,0.9719626168224299,0.9428571428571428,0.9961341848561177,0.9994595690062824,0.9913156256484749,0.9944164772298035,0.9993450675399099
3,val,0.1527107891937097,0.36805105209350586,0.98046875,0.9895833333333334,0.9700520833333334,0.9713541666666666,0.9908854166666666,0.9549665231428446,0.9487179487179487,0.9245283018867925,0.9764705882352941,0.9701492537313433,0.9532872539665342,0.9823008849557522,0.930379746835443,0.9718969555035128,0.9285714285714286,0.9539364248754872,0.9652173913043478,0.9274447949526814,0.9741784037558685,0.948905109489051,0.9959749782641999,0.9994325474565966,0.992840838348205,0.9954947220944048,0.9961318051575931
4,val,0.11683986576584478,0.34264039993286133,0.9856770833333333,1.0,0.9713541666666666,0.9713541666666666,1.0,0.9787589643855596,1.0,0.9473684210526315,0.9676674364896074,1.0,0.9731642605164083,1.0,0.9113924050632911,0.9812646370023419,1.0,0.9758627156789198,1.0,0.9290322580645162,0.9744186046511628,1.0,0.9960411078789942,1.0,0.9905789582901017,0.9935854732258752,1.0
5,val,0.11858937020103137,0.35942649841308594,0.982421875,0.99609375,0.96484375,0.96875,1.0,0.9739118454899045,0.9910714285714286,0.9455782312925171,0.958997722095672,1.0,0.9619990495376367,0.9823008849557522,0.879746835443038,0.9859484777517564,1.0,0.9676071126591703,0.9866666666666667,0.9114754098360656,0.9722863741339491,1.0,0.9955946730023146,0.9999729784503142,0.9890537455903714,0.993351967968573,1.0
6,val,0.12595971456418434,0.376908540725708,0.9856770833333333,0.9986979166666666,0.9713541666666666,0.97265625,1.0,0.9780758347481607,0.9912280701754386,0.9533333333333334,0.967741935483871,1.0,0.9721674621290723,1.0,0.9050632911392406,0.9836065573770492,1.0,0.9749439745813443,0.9955947136563876,0.9285714285714286,0.975609756097561,1.0,0.9968408186040555,0.9998919138012564,0.9925191948537041,0.9949521657612614,1.0
7,val,0.12649334742066762,0.3675518035888672,0.984375,0.9947916666666666,0.97265625,0.9739583333333334,0.99609375,0.9644375478148632,0.9823008849557522,0.9202453987730062,0.9833729216152018,0.971830985915493,0.9717343236016096,0.9823008849557522,0.9493670886075949,0.9695550351288056,0.9857142857142858,0.9680047057007576,0.9823008849557522,0.9345794392523364,0.9764150943396226,0.9787234042553191,0.9963903586964041,0.9997297845031412,0.9921041709898321,0.9944233450314889,0.9993041342611543
8,val,0.20644038931156197,0.35096073150634766,0.9765625,0.9934895833333334,0.9544270833333334,0.9596354166666666,0.9986979166666666,0.9533601333106284,0.990909090909091,0.8324324324324325,0.9900990099009901,1.0,0.9654419374531229,0.9646017699115044,0.9746835443037974,0.936768149882904,0.9857142857142858,0.9577597404846421,0.9775784753363229,0.8979591836734694,0.9626955475330926,0.9928057553956835,0.99638086665989,0.9999189353509423,0.9912429964722971,0.9943615348163205,1.0
9,val,0.17585911302982518,0.3585996627807617,0.9791666666666667,0.99609375,0.9609375,0.9622395833333334,0.9973958333333334,0.9695195786647992,0.9910714285714286,0.9705882352941176,0.9441964285714286,0.9722222222222222,0.9520940603579017,0.9823008849557522,0.8354430379746836,0.990632318501171,1.0,0.9593496215387564,0.9866666666666667,0.8979591836734694,0.9668571428571429,0.9859154929577465,0.9956512682522474,0.9999729784503141,0.989499896244034,0.9931321983146415,0.9999999999999999
10,val,0.09207972959848121,0.34720873832702637,0.9856770833333333,0.9947916666666666,0.9765625,0.9765625,0.9947916666666666,0.9696896589673422,1.0,0.9605263157894737,0.9722863741339491,0.9459459459459459,0.9686502201436633,0.9646017699115044,0.9240506329113924,0.9859484777517564,1.0,0.9688023638792581,0.9819819819819819,0.9419354838709677,0.9790697674418605,0.9722222222222222,0.9970983918216478,1.0,0.992788960365221,0.9956046069213704,1.0
