epoch,phase,loss,time_seconds,avg_accuracy,adenocarcinoma_accuracy,benign_accuracy,squamous_cell_carcinoma_accuracy,avg_precision,adenocarcinoma_precision,benign_precision,squamous_cell_carcinoma_precision,avg_recall,adenocarcinoma_recall,benign_recall,squamous_cell_carcinoma_recall,avg_f1,adenocarcinoma_f1,benign_f1,squamous_cell_carcinoma_f1,avg_auc,adenocarcinoma_auc,benign_auc,squamous_cell_carcinoma_auc
1,train,0.28504513874848153,11.94181227684021,0.9603834219858157,0.9424035904255319,0.9895279255319149,0.94921875,0.9413915636931743,0.9414426404045781,0.9830845771144279,0.899647473560517,0.9405728782066104,0.8820448877805487,0.9855361596009975,0.9541375872382851,0.9403922977412841,0.9107763615295481,0.9843088418430884,0.9260916898512157,0.9888245932397388,0.9827273004225912,0.9987302996559958,0.9850161796406293
2,train,0.05629952233086558,8.620628595352173,0.9914671985815602,0.9872007978723404,0.9985871010638298,0.9886136968085106,0.9872070723973794,0.9815323184427253,0.9982526210683974,0.9818362776810152,0.9872034340186259,0.9800647894343384,0.9975056123721626,0.9840399002493766,0.9872046119368018,0.9807980049875312,0.9978789769182782,0.9829368539045958,0.998743385453477,0.9980261183203473,0.9997758688718799,0.9984281691682039
3,train,0.021416849902573417,8.523228883743286,0.9965647163120567,0.9948470744680851,0.999501329787234,0.995345744680851,0.9948459797252629,0.9934918648310388,0.9992529880478087,0.9917930862969411,0.9948433310459146,0.9910112359550561,0.9992529880478087,0.9942657691348791,0.9948436254980079,0.99225,0.9992529880478087,0.9930278884462151,0.9995974593627501,0.9993260262220499,0.9999825734487201,0.9994837784174806
4,train,0.014320769464904244,8.518547058105469,0.9983377659574467,0.9975066489361702,0.9998337765957447,0.9976728723404256,0.9975086210616588,0.9972506873281679,0.9997505612372163,0.9955246146195923,0.9975066480753796,0.995260663507109,0.9997505612372163,0.9975087194818136,0.9975069741092216,0.9962546816479401,0.9997505612372163,0.9965156794425087,0.9999796623685326,0.9999674171976323,0.9999999378190795,0.9999716320888862
5,train,0.007770844487512999,8.547107696533203,0.9991688829787234,0.9987533244680851,0.9999168882978723,0.9988364361702128,0.9987531792251083,0.9985044865403788,1.0,0.9977550511349463,0.9987535714278758,0.997758405977584,0.9997507477567298,0.9987515605493134,0.9987532407780545,0.998131306839417,0.9998753583447588,0.9982530571499876,0.999944723831815,0.9999271473399226,1.0,0.9999070241555225
6,train,0.013638612459738185,8.611268520355225,0.9975620567375887,0.996343085106383,0.9998337765957447,0.9965093085106383,0.9963430155405003,0.9950112247443252,0.99950137122912,0.9945164506480558,0.9963439685527439,0.9940194368303015,1.0,0.9950124688279302,0.9963433682891584,0.9945150835203191,0.9997506234413965,0.9947643979057592,0.9998484589723514,0.9997850544776739,0.999999875638159,0.9997604468012218
7,train,0.002990710469949842,8.679813146591187,0.9996675531914893,0.999501329787234,0.9999168882978723,0.9995844414893617,0.9995013297803442,0.9990027424582398,1.0,0.9995012468827931,0.9995013090249474,0.9995011224744326,0.9997507477567298,0.9992520568436799,0.999501288332861,0.9992518703241895,0.9998753583447588,0.9993766363296347,0.9999995026120844,0.9999992227384931,1.0,0.9999992850977603
8,train,0.006535333394261196,8.918986797332764,0.9985593971631207,0.9978390957446809,1.0,0.9978390957446809,0.9978384876753821,0.9970067348465952,1.0,0.9965087281795512,0.9978385288759305,0.9965095986038395,1.0,0.9970059880239521,0.9978384669406554,0.9967581047381546,1.0,0.9967572960838115,0.9999728181683661,0.9999600276399856,1.0,0.9999584268651132
9,train,0.0027435863204176556,8.95963191986084,0.9993351063829786,0.9990857712765957,0.9999168882978723,0.9990026595744681,0.9990028639845735,0.9987512487512488,0.9997506234413965,0.9985067197610752,0.9990028641400838,0.998501872659176,1.0,0.9985067197610752,0.9990028536897962,0.9986265451367212,0.9998752961715924,0.9985067197610752,0.9999979383132983,0.999996920505653,1.0,0.9999968944342422
10,train,0.0022378694484359585,8.9327392578125,0.9996675531914893,0.999501329787234,1.0,0.999501329787234,0.9995014333712898,0.9992520568436799,1.0,0.9992522432701895,0.9995014333712898,0.9992520568436799,1.0,0.9992522432701895,0.9995014333712898,0.9992520568436799,1.0,0.9992522432701895,0.9999992644211383,0.9999988810225812,1.0,0.9999989122408336
1,val,0.037610461799583085,0.6960172653198242,0.9947916666666666,0.9921875,0.9993489583333334,0.9928385416666666,0.9921548779793828,0.9962121212121212,0.998003992015968,0.9822485207100592,0.9924477611940299,0.9813432835820896,1.0,0.996,0.9922664227530166,0.9887218045112782,0.999000999000999,0.9890764647467726,0.9998901918976547,0.9998134328358209,1.0,0.9998571428571429
2,val,0.020401917873338487,0.5532855987548828,0.9973958333333334,0.99609375,1.0,0.99609375,0.9960474308300395,1.0,1.0,0.9881422924901185,0.9962686567164178,0.9888059701492538,1.0,1.0,0.9961357558215435,0.9943714821763602,1.0,0.9940357852882704,0.9999961822163316,0.9999962686567164,1.0,0.9999922779922781
3,val,0.0045756303443340585,0.558464527130127,0.9995659722222223,0.9993489583333334,1.0,0.9993489583333334,0.9993346640053226,1.0,1.0,0.998003992015968,0.9993781094527363,0.9981343283582089,1.0,1.0,0.9993557640616464,0.9990662931839402,1.0,0.999000999000999,1.0,1.0,0.9999999999999999,1.0
4,val,0.006246111404834664,0.5695955753326416,0.9991319444444443,0.9986979166666666,1.0,0.9986979166666666,0.99867197875166,1.0,1.0,0.9960159362549801,0.9987562189054726,0.996268656716418,1.0,1.0,0.9987116110458212,0.9981308411214953,1.0,0.998003992015968,1.0,1.0,1.0,1.0
