step,epoch,loss,learning_rate,grad_norm,elapsed_time_s,timestamp
1,0.0080,3.661000,0.00e+00,2.0198,4.46,2025-10-14 00:19:53
2,0.0161,3.531500,5.00e-05,1.2854,7.24,2025-10-14 00:19:56
3,0.0241,3.456500,1.00e-04,1.1758,10.23,2025-10-14 00:19:59
4,0.0321,3.539600,1.50e-04,1.3130,12.95,2025-10-14 00:20:02
5,0.0402,3.524600,2.00e-04,1.6722,15.74,2025-10-14 00:20:04
6,0.0482,3.302400,2.00e-04,1.5012,18.72,2025-10-14 00:20:07
7,0.0562,3.262700,2.00e-04,1.6597,21.35,2025-10-14 00:20:10
8,0.0643,3.071700,2.00e-04,1.6134,24.17,2025-10-14 00:20:13
9,0.0723,2.929800,1.99e-04,1.6856,27.04,2025-10-14 00:20:16
10,0.0803,2.715500,1.99e-04,1.6935,52.14,2025-10-14 00:20:41
11,0.0884,2.640000,1.99e-04,1.7328,54.82,2025-10-14 00:20:43
12,0.0964,2.626500,1.98e-04,1.8866,57.80,2025-10-14 00:20:46
13,0.1044,2.396900,1.98e-04,2.0052,60.51,2025-10-14 00:20:49
14,0.1124,2.239700,1.97e-04,2.0363,63.20,2025-10-14 00:20:52
15,0.1205,2.183900,1.97e-04,2.2752,66.14,2025-10-14 00:20:55
16,0.1285,2.086800,1.96e-04,2.1745,68.87,2025-10-14 00:20:57
17,0.1365,1.949700,1.95e-04,2.3118,71.48,2025-10-14 00:21:00
18,0.1446,1.935200,1.94e-04,2.1332,74.36,2025-10-14 00:21:03
19,0.1526,1.792200,1.93e-04,1.9905,77.08,2025-10-14 00:21:06
20,0.1606,1.726100,1.92e-04,1.7198,103.39,2025-10-14 00:21:32
21,0.1687,1.705700,1.91e-04,1.8796,106.33,2025-10-14 00:21:35
22,0.1767,1.560500,1.90e-04,1.8937,109.06,2025-10-14 00:21:38
23,0.1847,1.604000,1.89e-04,1.9555,111.70,2025-10-14 00:21:40
24,0.1928,1.535300,1.88e-04,1.7592,114.71,2025-10-14 00:21:43
25,0.2008,1.456400,1.87e-04,1.8183,117.42,2025-10-14 00:21:46
26,0.2088,1.441400,1.85e-04,1.7630,120.08,2025-10-14 00:21:49
27,0.2169,1.371500,1.84e-04,1.6806,123.01,2025-10-14 00:21:52
28,0.2249,1.230300,1.82e-04,1.6418,125.73,2025-10-14 00:21:54
29,0.2329,1.229200,1.81e-04,1.5277,128.45,2025-10-14 00:21:57
30,0.2410,1.335900,1.79e-04,1.7861,155.03,2025-10-14 00:22:24
31,0.2490,1.134800,1.78e-04,1.6361,157.72,2025-10-14 00:22:26
32,0.2570,1.292600,1.76e-04,1.5470,160.35,2025-10-14 00:22:29
33,0.2651,1.180400,1.74e-04,1.4081,163.25,2025-10-14 00:22:32
34,0.2731,1.045400,1.73e-04,1.4029,165.92,2025-10-14 00:22:34
35,0.2811,1.078000,1.71e-04,1.4556,168.55,2025-10-14 00:22:37
36,0.2892,1.106100,1.69e-04,1.3027,171.47,2025-10-14 00:22:40
37,0.2972,0.999700,1.67e-04,1.1518,174.19,2025-10-14 00:22:43
38,0.3052,1.036500,1.65e-04,1.3399,176.93,2025-10-14 00:22:45
39,0.3133,0.945700,1.63e-04,1.3087,179.86,2025-10-14 00:22:48
40,0.3213,1.080200,1.61e-04,1.3928,206.68,2025-10-14 00:23:15
41,0.3293,0.929400,1.59e-04,1.2438,209.35,2025-10-14 00:23:18
42,0.3373,0.967400,1.57e-04,1.2407,212.33,2025-10-14 00:23:21
43,0.3454,0.996500,1.54e-04,1.2784,215.07,2025-10-14 00:23:24
44,0.3534,0.985600,1.52e-04,1.2946,217.79,2025-10-14 00:23:26
45,0.3614,0.868000,1.50e-04,1.4061,220.63,2025-10-14 00:23:29
46,0.3695,0.924700,1.48e-04,1.2647,223.29,2025-10-14 00:23:32
47,0.3775,0.904800,1.45e-04,1.1977,225.97,2025-10-14 00:23:35
48,0.3855,0.892200,1.43e-04,1.2491,228.89,2025-10-14 00:23:37
49,0.3936,0.917000,1.41e-04,1.3626,231.53,2025-10-14 00:23:40
50,0.4016,0.894900,1.38e-04,1.2563,260.13,2025-10-14 00:24:09
51,0.4096,0.959400,1.36e-04,1.2959,263.03,2025-10-14 00:24:12
52,0.4177,0.868900,1.33e-04,1.1772,265.76,2025-10-14 00:24:14
53,0.4257,0.733000,1.31e-04,1.2049,268.46,2025-10-14 00:24:17
54,0.4337,0.827700,1.28e-04,1.2039,271.34,2025-10-14 00:24:20
55,0.4418,0.814100,1.26e-04,1.2360,274.04,2025-10-14 00:24:23
56,0.4498,0.788000,1.23e-04,1.3564,276.71,2025-10-14 00:24:25
57,0.4578,0.857200,1.21e-04,1.3570,279.62,2025-10-14 00:24:28
58,0.4659,0.747900,1.18e-04,1.3413,282.30,2025-10-14 00:24:31
59,0.4739,0.860300,1.16e-04,2.1705,285.06,2025-10-14 00:24:34
60,0.4819,0.933400,1.13e-04,1.6985,312.60,2025-10-14 00:25:01
61,0.4900,0.767500,1.10e-04,1.7688,315.26,2025-10-14 00:25:04
62,0.4980,0.794800,1.08e-04,1.2065,317.95,2025-10-14 00:25:06
63,0.5060,0.775600,1.05e-04,1.2789,320.88,2025-10-14 00:25:09
64,0.5141,0.796900,1.03e-04,1.3654,323.56,2025-10-14 00:25:12
65,0.5221,0.749700,1.00e-04,1.2265,326.29,2025-10-14 00:25:15
66,0.5301,0.824900,9.74e-05,1.1440,329.14,2025-10-14 00:25:18
67,0.5382,0.799000,9.48e-05,1.1888,331.82,2025-10-14 00:25:20
68,0.5462,0.788400,9.22e-05,1.2541,334.57,2025-10-14 00:25:23
69,0.5542,0.751200,8.95e-05,1.5007,337.45,2025-10-14 00:25:26
70,0.5622,0.794600,8.69e-05,1.3374,367.03,2025-10-14 00:25:56
71,0.5703,0.723600,8.44e-05,1.0757,370.04,2025-10-14 00:25:59
72,0.5783,0.761800,8.18e-05,1.5441,372.70,2025-10-14 00:26:01
73,0.5863,0.695700,7.92e-05,1.1212,375.41,2025-10-14 00:26:04
74,0.5944,0.846200,7.67e-05,1.2741,378.10,2025-10-14 00:26:07
75,0.6024,0.671300,7.41e-05,1.0581,381.03,2025-10-14 00:26:10
76,0.6104,0.817500,7.16e-05,1.3544,383.65,2025-10-14 00:26:12
77,0.6185,0.684900,6.91e-05,1.1733,386.32,2025-10-14 00:26:15
78,0.6265,0.713700,6.66e-05,1.1747,389.25,2025-10-14 00:26:18
79,0.6345,0.710600,6.42e-05,1.3374,391.99,2025-10-14 00:26:21
80,0.6426,0.736300,6.17e-05,1.1054,421.14,2025-10-14 00:26:50
81,0.6506,0.706300,5.93e-05,1.1044,424.04,2025-10-14 00:26:53
82,0.6586,0.703400,5.69e-05,1.0287,426.77,2025-10-14 00:26:55
83,0.6667,0.689400,5.46e-05,1.0179,429.51,2025-10-14 00:26:58
84,0.6747,0.669200,5.23e-05,1.0863,432.41,2025-10-14 00:27:01
85,0.6827,0.724400,5.00e-05,1.2529,435.07,2025-10-14 00:27:04
86,0.6908,0.701500,4.78e-05,0.9438,437.78,2025-10-14 00:27:06
87,0.6988,0.688800,4.55e-05,0.9460,440.70,2025-10-14 00:27:09
88,0.7068,0.590300,4.34e-05,0.9687,443.41,2025-10-14 00:27:12
89,0.7149,0.759800,4.12e-05,1.0956,446.17,2025-10-14 00:27:15
90,0.7229,0.716600,3.91e-05,1.0428,475.86,2025-10-14 00:27:44
91,0.7309,0.761300,3.71e-05,1.0729,478.59,2025-10-14 00:27:47
92,0.7390,0.674600,3.51e-05,1.0447,481.31,2025-10-14 00:27:50
93,0.7470,0.737300,3.31e-05,1.2136,484.24,2025-10-14 00:27:53
94,0.7550,0.707600,3.12e-05,1.4109,486.94,2025-10-14 00:27:55
95,0.7631,0.644800,2.93e-05,1.0012,489.63,2025-10-14 00:27:58
96,0.7711,0.807400,2.75e-05,1.1975,492.57,2025-10-14 00:28:01
97,0.7791,0.681700,2.57e-05,1.1583,495.31,2025-10-14 00:28:04
98,0.7871,0.697400,2.40e-05,1.0464,497.99,2025-10-14 00:28:07
99,0.7952,0.670800,2.23e-05,1.1011,500.93,2025-10-14 00:28:09
100,0.8032,0.783600,2.07e-05,1.1206,526.27,2025-10-14 00:28:35
101,0.8112,0.697200,1.91e-05,1.0256,528.92,2025-10-14 00:28:37
102,0.8193,0.671900,1.76e-05,0.9034,531.90,2025-10-14 00:28:40
103,0.8273,0.736900,1.61e-05,1.0199,534.63,2025-10-14 00:28:43
104,0.8353,0.770600,1.47e-05,1.0522,537.31,2025-10-14 00:28:46
105,0.8434,0.712800,1.34e-05,1.0232,540.26,2025-10-14 00:28:49
106,0.8514,0.766600,1.21e-05,1.0005,542.89,2025-10-14 00:28:51
107,0.8594,0.695700,1.09e-05,1.0527,545.62,2025-10-14 00:28:54
108,0.8675,0.751800,9.74e-06,1.0339,548.47,2025-10-14 00:28:57
109,0.8755,0.734000,8.65e-06,1.0230,551.09,2025-10-14 00:29:00
110,0.8835,0.666200,7.61e-06,0.9890,578.04,2025-10-14 00:29:27
111,0.8916,0.648200,6.64e-06,0.9586,580.94,2025-10-14 00:29:29
112,0.8996,0.709500,5.74e-06,1.1700,583.64,2025-10-14 00:29:32
113,0.9076,0.748800,4.89e-06,1.0032,586.33,2025-10-14 00:29:35
114,0.9157,0.734400,4.12e-06,1.0450,589.24,2025-10-14 00:29:38
115,0.9237,0.749500,3.41e-06,1.0832,591.93,2025-10-14 00:29:40
116,0.9317,0.689200,2.76e-06,0.9887,594.59,2025-10-14 00:29:43
117,0.9398,0.761100,2.19e-06,0.9140,597.61,2025-10-14 00:29:46
118,0.9478,0.747900,1.67e-06,0.9678,600.24,2025-10-14 00:29:49
119,0.9558,0.704600,1.23e-06,0.9585,602.92,2025-10-14 00:29:51
120,0.9639,0.682200,8.56e-07,0.9924,630.67,2025-10-14 00:30:19
121,0.9719,0.813100,5.48e-07,1.2371,633.38,2025-10-14 00:30:22
122,0.9799,0.730800,3.08e-07,1.0564,636.11,2025-10-14 00:30:25
123,0.9880,0.853400,1.37e-07,1.0350,639.03,2025-10-14 00:30:28
124,0.9960,0.730000,3.43e-08,1.0539,641.70,2025-10-14 00:30:30
