step,epoch,loss,learning_rate,grad_norm,elapsed_time_s,timestamp
1,0.0080,3.661000,0.00e+00,1.0103,4.46,2025-10-13 23:58:50
2,0.0161,3.531500,5.00e-05,0.6427,7.26,2025-10-13 23:58:53
3,0.0241,3.460700,1.00e-04,0.5970,10.28,2025-10-13 23:58:56
4,0.0321,3.555700,1.50e-04,0.8872,13.03,2025-10-13 23:58:58
5,0.0402,3.596100,2.00e-04,0.9142,15.83,2025-10-13 23:59:01
6,0.0482,3.448000,2.00e-04,1.0448,18.84,2025-10-13 23:59:04
7,0.0562,3.446500,2.00e-04,1.0821,21.51,2025-10-13 23:59:07
8,0.0643,3.292900,2.00e-04,1.0624,24.33,2025-10-13 23:59:10
9,0.0723,3.201400,1.99e-04,1.1408,27.23,2025-10-13 23:59:13
10,0.0803,3.023100,1.99e-04,1.1757,57.82,2025-10-13 23:59:43
11,0.0884,2.962200,1.99e-04,1.1645,60.55,2025-10-13 23:59:46
12,0.0964,2.974400,1.98e-04,1.1927,63.54,2025-10-13 23:59:49
13,0.1044,2.770000,1.98e-04,1.2442,66.27,2025-10-13 23:59:52
14,0.1124,2.631000,1.97e-04,1.2105,68.98,2025-10-13 23:59:54
15,0.1205,2.619600,1.97e-04,1.3630,71.92,2025-10-13 23:59:57
16,0.1285,2.531400,1.96e-04,1.3299,74.72,2025-10-14 00:00:00
17,0.1365,2.400100,1.95e-04,1.4656,77.36,2025-10-14 00:00:03
18,0.1446,2.350000,1.94e-04,1.4763,80.31,2025-10-14 00:00:06
19,0.1526,2.231200,1.93e-04,1.4723,83.06,2025-10-14 00:00:08
20,0.1606,2.157400,1.92e-04,1.5034,100.42,2025-10-14 00:00:26
21,0.1687,2.077200,1.91e-04,1.4235,103.42,2025-10-14 00:00:29
22,0.1767,1.970100,1.90e-04,1.6491,106.20,2025-10-14 00:00:32
23,0.1847,1.973500,1.89e-04,1.4942,108.88,2025-10-14 00:00:34
24,0.1928,1.895600,1.88e-04,1.3214,111.90,2025-10-14 00:00:37
25,0.2008,1.790300,1.87e-04,1.2237,114.63,2025-10-14 00:00:40
26,0.2088,1.808900,1.85e-04,1.2882,117.33,2025-10-14 00:00:43
27,0.2169,1.732900,1.84e-04,1.2409,120.31,2025-10-14 00:00:46
28,0.2249,1.632800,1.82e-04,1.2687,123.06,2025-10-14 00:00:48
29,0.2329,1.617300,1.81e-04,1.2826,125.80,2025-10-14 00:00:51
30,0.2410,1.666300,1.79e-04,1.2425,150.76,2025-10-14 00:01:16
31,0.2490,1.503300,1.78e-04,1.2297,153.46,2025-10-14 00:01:19
32,0.2570,1.633300,1.76e-04,1.1529,156.14,2025-10-14 00:01:21
33,0.2651,1.519100,1.74e-04,1.0958,159.07,2025-10-14 00:01:24
34,0.2731,1.382500,1.73e-04,1.1863,161.78,2025-10-14 00:01:27
35,0.2811,1.422800,1.71e-04,1.1896,164.42,2025-10-14 00:01:30
36,0.2892,1.413400,1.69e-04,1.0987,167.41,2025-10-14 00:01:33
37,0.2972,1.295300,1.67e-04,0.9966,170.16,2025-10-14 00:01:36
38,0.3052,1.315600,1.65e-04,1.0960,172.96,2025-10-14 00:01:38
39,0.3133,1.224000,1.63e-04,1.0534,175.94,2025-10-14 00:01:41
40,0.3213,1.350900,1.61e-04,1.1802,198.79,2025-10-14 00:02:04
41,0.3293,1.169600,1.59e-04,1.0511,201.49,2025-10-14 00:02:07
42,0.3373,1.230600,1.57e-04,1.0966,204.50,2025-10-14 00:02:10
43,0.3454,1.225100,1.54e-04,1.1097,207.26,2025-10-14 00:02:13
44,0.3534,1.220500,1.52e-04,1.1387,210.01,2025-10-14 00:02:15
45,0.3614,1.086100,1.50e-04,1.1532,212.95,2025-10-14 00:02:18
46,0.3695,1.121200,1.48e-04,1.1267,215.64,2025-10-14 00:02:21
47,0.3775,1.091800,1.45e-04,1.0876,218.37,2025-10-14 00:02:24
48,0.3855,1.062000,1.43e-04,1.0871,221.08,2025-10-14 00:02:26
49,0.3936,1.085000,1.41e-04,1.0101,223.96,2025-10-14 00:02:29
50,0.4016,1.035900,1.38e-04,0.9345,253.90,2025-10-14 00:02:59
51,0.4096,1.119200,1.36e-04,0.9898,256.87,2025-10-14 00:03:02
52,0.4177,0.999400,1.33e-04,0.8770,259.61,2025-10-14 00:03:05
53,0.4257,0.878100,1.31e-04,1.0384,262.35,2025-10-14 00:03:08
54,0.4337,0.968200,1.28e-04,1.0538,265.01,2025-10-14 00:03:10
55,0.4418,0.948400,1.26e-04,0.9117,268.03,2025-10-14 00:03:13
56,0.4498,0.933900,1.23e-04,0.9326,270.77,2025-10-14 00:03:16
57,0.4578,0.991900,1.21e-04,1.0068,273.68,2025-10-14 00:03:19
58,0.4659,0.894700,1.18e-04,0.9577,276.39,2025-10-14 00:03:22
59,0.4739,0.997300,1.16e-04,1.0462,279.14,2025-10-14 00:03:24
60,0.4819,1.081400,1.13e-04,1.0849,309.05,2025-10-14 00:03:54
61,0.4900,0.918400,1.10e-04,1.0521,311.74,2025-10-14 00:03:57
62,0.4980,0.931400,1.08e-04,0.9043,314.45,2025-10-14 00:04:00
63,0.5060,0.931000,1.05e-04,0.8998,317.40,2025-10-14 00:04:03
64,0.5141,0.926000,1.03e-04,0.9272,320.14,2025-10-14 00:04:05
65,0.5221,0.886700,1.00e-04,0.9391,322.90,2025-10-14 00:04:08
66,0.5301,0.958200,9.74e-05,0.8882,325.78,2025-10-14 00:04:11
67,0.5382,0.929000,9.48e-05,1.0262,328.47,2025-10-14 00:04:14
68,0.5462,0.911600,9.22e-05,0.9699,331.27,2025-10-14 00:04:17
69,0.5542,0.860800,8.95e-05,1.1871,334.16,2025-10-14 00:04:20
70,0.5622,0.933100,8.69e-05,0.9542,362.51,2025-10-14 00:04:48
71,0.5703,0.830900,8.44e-05,0.8633,365.24,2025-10-14 00:04:51
72,0.5783,0.890400,8.18e-05,1.1083,368.20,2025-10-14 00:04:54
73,0.5863,0.802700,7.92e-05,0.9121,370.95,2025-10-14 00:04:56
74,0.5944,0.963200,7.67e-05,1.1505,373.65,2025-10-14 00:04:59
75,0.6024,0.788300,7.41e-05,0.9713,376.61,2025-10-14 00:05:02
76,0.6104,0.929200,7.16e-05,1.2527,379.27,2025-10-14 00:05:05
77,0.6185,0.792500,6.91e-05,1.0096,382.00,2025-10-14 00:05:07
78,0.6265,0.814800,6.66e-05,0.9609,384.96,2025-10-14 00:05:10
79,0.6345,0.798200,6.42e-05,1.0666,387.69,2025-10-14 00:05:13
80,0.6426,0.842300,6.17e-05,0.9591,418.53,2025-10-14 00:05:44
81,0.6506,0.809800,5.93e-05,1.0317,421.48,2025-10-14 00:05:47
82,0.6586,0.785900,5.69e-05,0.8781,424.24,2025-10-14 00:05:50
83,0.6667,0.811100,5.46e-05,1.0135,426.97,2025-10-14 00:05:52
84,0.6747,0.757500,5.23e-05,0.8670,429.94,2025-10-14 00:05:55
85,0.6827,0.822900,5.00e-05,1.0559,432.62,2025-10-14 00:05:58
86,0.6908,0.803800,4.78e-05,0.8584,435.36,2025-10-14 00:06:01
87,0.6988,0.784700,4.55e-05,0.8138,438.29,2025-10-14 00:06:04
88,0.7068,0.686000,4.34e-05,0.8164,441.03,2025-10-14 00:06:06
89,0.7149,0.854100,4.12e-05,0.9479,443.81,2025-10-14 00:06:09
90,0.7229,0.791400,3.91e-05,0.9334,472.30,2025-10-14 00:06:38
91,0.7309,0.856300,3.71e-05,0.8840,475.03,2025-10-14 00:06:40
92,0.7390,0.765100,3.51e-05,0.9504,477.77,2025-10-14 00:06:43
93,0.7470,0.824700,3.31e-05,1.0389,480.69,2025-10-14 00:06:46
94,0.7550,0.783400,3.12e-05,1.2639,483.39,2025-10-14 00:06:49
95,0.7631,0.725200,2.93e-05,0.8858,486.10,2025-10-14 00:06:51
96,0.7711,0.881300,2.75e-05,0.9701,489.07,2025-10-14 00:06:54
