epoch,phase,loss,time_seconds,avg_accuracy,COVID19_accuracy,NORMAL_accuracy,PNEUMONIA_accuracy,TURBERCULOSIS_accuracy,avg_precision,COVID19_precision,NORMAL_precision,PNEUMONIA_precision,TURBERCULOSIS_precision,avg_recall,COVID19_recall,NORMAL_recall,PNEUMONIA_recall,TURBERCULOSIS_recall,avg_f1,COVID19_f1,NORMAL_f1,PNEUMONIA_f1,TURBERCULOSIS_f1,avg_auc,COVID19_auc,NORMAL_auc,PNEUMONIA_auc,TURBERCULOSIS_auc
1,train,1.2968425472577414,4.419897079467773,0.79609375,0.8607638888888889,0.7838541666666666,0.6694444444444444,0.8703125,0.463297913269857,0.2450532724505327,0.5095419847328244,0.7611185983827493,0.33747779751332146,0.4909731984236291,0.34475374732334046,0.6282352941176471,0.6540243196294152,0.33687943262411346,0.472467986809046,0.28647686832740216,0.5626975763962065,0.7035191529118655,0.33717834960070986,0.7613136638474047,0.7667020924974239,0.808364176885916,0.7219916348228809,0.748196751183398
2,train,0.9087612721655104,2.6177330017089844,0.9137152777777777,0.9340277777777778,0.9026041666666667,0.8697916666666666,0.9484375,0.7520765459669232,0.625748502994012,0.7828843106180665,0.8804042672655812,0.7192691029900332,0.7258818459750219,0.4504310344827586,0.7749019607843137,0.9063583815028902,0.7718360071301248,0.735125249491461,0.5238095238095238,0.7788726842727631,0.8931928225576758,0.7446259673258814,0.9343544399635191,0.8998259909886448,0.9481971713992173,0.9229956019100277,0.9663989955561864
3,train,0.5097813571492831,2.521176815032959,0.929513888888889,0.9489583333333333,0.9121527777777778,0.8993055555555556,0.9576388888888889,0.83187592173002,0.84,0.8780487804878049,0.8787958806443095,0.7306590257879656,0.755284939333241,0.4525862068965517,0.702576112412178,0.9649173673528559,0.901060070671378,0.7739037393903213,0.5882352941176471,0.7805724197745013,0.9198452183526811,0.8069620253164557,0.9640371380261861,0.9550445521668923,0.9566531226737873,0.9661645697415226,0.9782863075225423
4,train,0.3697167734305064,2.5368876457214355,0.9496527777777777,0.9628472222222222,0.9357638888888888,0.9269097222222222,0.9730902777777778,0.875868639815538,0.8539325842696629,0.8994755244755245,0.9142700629964393,0.8357963875205254,0.8312259922079703,0.6523605150214592,0.8014018691588785,0.9686593151479976,0.9024822695035462,0.8489524794485822,0.7396593673965937,0.8476112026359144,0.9406791602085388,0.8678601875532822,0.9773097609085699,0.9687146838837716,0.972231096133341,0.9806100894351725,0.9876831741819949
5,train,0.3043424995409118,2.549673557281494,0.9588541666666667,0.9690972222222223,0.9470486111111112,0.9409722222222222,0.9782986111111112,0.8970955418231139,0.85785536159601,0.9140425531914894,0.9306711037160288,0.8858131487889274,0.8626789500231585,0.7397849462365591,0.8403755868544601,0.9738827626233314,0.8966725043782837,0.878279050935198,0.7944572748267898,0.8756624541377904,0.9517867271695972,0.8912097476066144,0.9822674124758347,0.978006437397829,0.9764799067597115,0.9833753111971792,0.9912079945486191
6,train,0.2870912948416339,2.5282185077667236,0.9578993055555556,0.9697916666666667,0.9434027777777778,0.9397569444444445,0.9786458333333333,0.8942009554497775,0.8410138248847926,0.8988294314381271,0.9321986607142857,0.9047619047619048,0.8651467746553522,0.776595744680851,0.83984375,0.969811320754717,0.8743362831858407,0.8789450425282497,0.8075221238938053,0.8683360258481422,0.9506330914781619,0.8892889288928892,0.9824142454270346,0.9784032498089531,0.9766870117187499,0.9829778029949185,0.9915889171855171
7,train,0.2556484469936954,2.534433364868164,0.9649305555555555,0.9770833333333333,0.9512152777777778,0.9472222222222222,0.9842013888888889,0.9168806343258943,0.8850574712643678,0.9174311926605505,0.9403026905829597,0.9247311827956989,0.8923280909141513,0.8244111349036403,0.858034321372855,0.973592571096924,0.9132743362831859,0.9040057298817953,0.8536585365853658,0.886739218057235,0.9566581123467351,0.918967052537845,0.9860692896969421,0.9858517835564001,0.9795772223921562,0.985276730351626,0.9935714224875859
8,train,0.24077104073431757,2.508242607116699,0.9653645833333334,0.9748263888888888,0.9536458333333333,0.9512152777777778,0.9817708333333334,0.9100149633200283,0.85,0.9181818181818182,0.9462274774774775,0.9256505576208178,0.8910935383510572,0.8372591006423983,0.8686473807662236,0.9739206027238482,0.8845470692717584,0.9002039852236619,0.8435814455231931,0.8927280032141423,0.9598743395687562,0.9046321525885559,0.9878637678319566,0.9885712251363462,0.9812091675755805,0.9868258947670405,0.9948487838488594
9,train,0.20690189691053495,2.5356764793395996,0.9678819444444444,0.9776041666666667,0.9581597222222222,0.9529513888888889,0.9828125,0.917767194556433,0.8627450980392157,0.9192245557350566,0.9506662886305642,0.9384328358208955,0.9006978920334823,0.8571428571428571,0.8897576231430805,0.9718840579710145,0.8840070298769771,0.9089378191699304,0.8599348534201955,0.9042510925705205,0.9611580908700015,0.9104072398190045,0.9892288490002079,0.9892873893440146,0.9839009254433497,0.9881026413200327,0.9956244398934346
10,train,0.19551760736438964,2.648247003555298,0.9684027777777777,0.9772569444444444,0.9579861111111111,0.9543402777777777,0.9840277777777777,0.9205585588580409,0.8798185941043084,0.9212662337662337,0.9502403166525304,0.9309090909090909,0.8996745991913899,0.8326180257510729,0.88671875,0.9747679814385151,0.9045936395759717,0.9097852096705841,0.8555678059536935,0.9036624203821656,0.9623478883321404,0.9175627240143369,0.990746537143401,0.9913883398648725,0.9856834193638393,0.9889819407870969,0.996932448557795
