step,epoch,loss,learning_rate,grad_norm,elapsed_time_s,timestamp
1,0.0080,3.661000,0.00e+00,0.8808,4.48,2025-10-14 01:34:04
2,0.0161,3.531500,2.50e-05,0.6116,7.30,2025-10-14 01:34:07
3,0.0241,3.463200,5.00e-05,0.5584,10.35,2025-10-14 01:34:10
4,0.0321,3.560200,7.50e-05,0.7048,13.12,2025-10-14 01:34:13
5,0.0402,3.620300,1.00e-04,0.7665,15.95,2025-10-14 01:34:16
6,0.0482,3.501500,1.25e-04,0.7921,18.98,2025-10-14 01:34:19
7,0.0562,3.530700,1.50e-04,0.8905,21.67,2025-10-14 01:34:21
8,0.0643,3.357300,1.75e-04,0.8148,24.51,2025-10-14 01:34:24
9,0.0723,3.246600,2.00e-04,0.8469,27.45,2025-10-14 01:34:27
10,0.0803,3.021200,2.00e-04,0.8541,57.26,2025-10-14 01:34:57
11,0.0884,2.913500,2.00e-04,0.8686,59.98,2025-10-14 01:35:00
12,0.0964,2.885300,2.00e-04,0.8775,63.04,2025-10-14 01:35:03
13,0.1044,2.650600,2.00e-04,0.9171,65.80,2025-10-14 01:35:05
14,0.1124,2.475400,2.00e-04,0.9010,68.52,2025-10-14 01:35:08
15,0.1205,2.422600,2.00e-04,1.0508,71.46,2025-10-14 01:35:11
16,0.1285,2.310000,2.00e-04,1.0355,74.25,2025-10-14 01:35:14
17,0.1365,2.152900,1.99e-04,1.0822,76.90,2025-10-14 01:35:17
18,0.1446,2.111200,1.99e-04,1.0545,79.84,2025-10-14 01:35:19
19,0.1526,1.973400,1.99e-04,1.0549,82.61,2025-10-14 01:35:22
20,0.1606,1.878300,1.99e-04,0.9655,104.30,2025-10-14 01:35:44
21,0.1687,1.832400,1.99e-04,0.9079,107.34,2025-10-14 01:35:47
22,0.1767,1.689900,1.99e-04,0.9244,110.10,2025-10-14 01:35:50
23,0.1847,1.724900,1.98e-04,0.9483,112.78,2025-10-14 01:35:52
24,0.1928,1.652600,1.98e-04,0.8867,115.81,2025-10-14 01:35:55
25,0.2008,1.560900,1.98e-04,0.8899,118.55,2025-10-14 01:35:58
26,0.2088,1.550800,1.98e-04,0.9214,121.27,2025-10-14 01:36:01
27,0.2169,1.469800,1.97e-04,0.8538,124.22,2025-10-14 01:36:04
28,0.2249,1.340400,1.97e-04,0.8974,126.98,2025-10-14 01:36:07
29,0.2329,1.334200,1.97e-04,0.8150,129.70,2025-10-14 01:36:09
30,0.2410,1.419900,1.96e-04,0.8968,158.94,2025-10-14 01:36:39
31,0.2490,1.224600,1.96e-04,0.7762,161.64,2025-10-14 01:36:41
32,0.2570,1.364200,1.96e-04,0.7776,164.31,2025-10-14 01:36:44
33,0.2651,1.241400,1.95e-04,0.7426,167.25,2025-10-14 01:36:47
34,0.2731,1.099100,1.95e-04,0.7615,169.96,2025-10-14 01:36:50
35,0.2811,1.118500,1.94e-04,0.7383,172.64,2025-10-14 01:36:52
36,0.2892,1.136700,1.94e-04,0.6655,175.59,2025-10-14 01:36:55
37,0.2972,1.028600,1.93e-04,0.6101,178.35,2025-10-14 01:36:58
38,0.3052,1.057700,1.93e-04,0.6932,181.14,2025-10-14 01:37:01
39,0.3133,0.966600,1.92e-04,0.6668,184.10,2025-10-14 01:37:04
40,0.3213,1.093200,1.92e-04,0.6915,208.72,2025-10-14 01:37:28
41,0.3293,0.943500,1.91e-04,0.6218,211.40,2025-10-14 01:37:31
42,0.3373,0.978800,1.91e-04,0.6409,214.43,2025-10-14 01:37:34
43,0.3454,1.007100,1.90e-04,0.6634,217.21,2025-10-14 01:37:37
44,0.3534,0.994200,1.90e-04,0.6885,219.94,2025-10-14 01:37:40
45,0.3614,0.880700,1.89e-04,0.6983,222.83,2025-10-14 01:37:42
46,0.3695,0.934400,1.88e-04,0.6224,225.55,2025-10-14 01:37:45
47,0.3775,0.916200,1.88e-04,0.6021,228.28,2025-10-14 01:37:48
48,0.3855,0.892700,1.87e-04,0.6043,231.25,2025-10-14 01:37:51
49,0.3936,0.924600,1.87e-04,0.6711,233.93,2025-10-14 01:37:54
50,0.4016,0.892500,1.86e-04,0.6075,260.20,2025-10-14 01:38:20
51,0.4096,0.954500,1.85e-04,0.6122,263.14,2025-10-14 01:38:23
52,0.4177,0.858700,1.85e-04,0.5508,265.91,2025-10-14 01:38:26
53,0.4257,0.724900,1.84e-04,0.5990,268.64,2025-10-14 01:38:28
54,0.4337,0.825500,1.83e-04,0.6276,271.53,2025-10-14 01:38:31
55,0.4418,0.801700,1.82e-04,0.6152,274.26,2025-10-14 01:38:34
56,0.4498,0.768600,1.82e-04,0.6795,276.98,2025-10-14 01:38:37
57,0.4578,0.833200,1.81e-04,0.6654,279.92,2025-10-14 01:38:40
58,0.4659,0.727700,1.80e-04,0.6454,282.62,2025-10-14 01:38:42
59,0.4739,0.835900,1.79e-04,0.7320,285.38,2025-10-14 01:38:45
60,0.4819,0.907700,1.79e-04,0.6626,312.42,2025-10-14 01:39:12
61,0.4900,0.743200,1.78e-04,0.7448,315.11,2025-10-14 01:39:15
62,0.4980,0.783900,1.77e-04,0.6850,317.83,2025-10-14 01:39:17
63,0.5060,0.761600,1.76e-04,0.6296,320.79,2025-10-14 01:39:20
64,0.5141,0.787500,1.75e-04,0.6279,323.52,2025-10-14 01:39:23
65,0.5221,0.734300,1.74e-04,0.5432,326.28,2025-10-14 01:39:26
66,0.5301,0.807600,1.73e-04,0.5295,329.17,2025-10-14 01:39:29
67,0.5382,0.789400,1.73e-04,0.5866,331.88,2025-10-14 01:39:31
68,0.5462,0.779900,1.72e-04,0.6138,334.64,2025-10-14 01:39:34
69,0.5542,0.747600,1.71e-04,0.9545,337.54,2025-10-14 01:39:37
70,0.5622,0.775300,1.70e-04,0.6186,366.20,2025-10-14 01:40:06
71,0.5703,0.713600,1.69e-04,0.5627,368.96,2025-10-14 01:40:09
72,0.5783,0.744700,1.68e-04,0.7153,371.92,2025-10-14 01:40:12
73,0.5863,0.687200,1.67e-04,0.6005,374.66,2025-10-14 01:40:14
74,0.5944,0.843300,1.66e-04,0.6218,377.38,2025-10-14 01:40:17
