epoch,phase,loss,time_seconds,avg_accuracy,adenocarcinoma_accuracy,benign_accuracy,squamous_cell_carcinoma_accuracy,avg_precision,adenocarcinoma_precision,benign_precision,squamous_cell_carcinoma_precision,avg_recall,adenocarcinoma_recall,benign_recall,squamous_cell_carcinoma_recall,avg_f1,adenocarcinoma_f1,benign_f1,squamous_cell_carcinoma_f1,avg_auc,adenocarcinoma_auc,benign_auc,squamous_cell_carcinoma_auc
1,train,0.769558848377238,7.067232608795166,0.8464095744680851,0.7854886968085106,0.9547872340425532,0.7989527925531915,0.7923765274393412,0.8105171664493699,0.9260260506266896,0.640586365241964,0.7695890540415354,0.46508728179551123,0.9394166043380703,0.9042632759910246,0.7578757547213941,0.591031532245286,0.9326732673267327,0.7499224645921637,0.9209803269161686,0.8949070075994259,0.991024868620395,0.8770091045286849
2,train,0.29706280373353905,5.3408522605896,0.941544769503546,0.9126496010638298,0.9845412234042553,0.9274434840425532,0.9145425919461309,0.9221112696148359,0.9683901004655722,0.8531264057579847,0.9123150662907471,0.8059850374064838,0.985781990521327,0.9451781709444306,0.9113171127323966,0.860146373918829,0.977008652657602,0.8967963116207589,0.9825282678461414,0.9700999930987789,0.9983565271794204,0.9791282832602249
3,train,0.16581911696715557,5.173768997192383,0.9663674645390071,0.949717420212766,0.9934341755319149,0.9559507978723404,0.9496524859622788,0.9335539714867617,0.9905071196602548,0.9248963667398196,0.9495695169425806,0.9142358514086263,0.989765351972042,0.9447073474470735,0.9495423068731874,0.9237939287063862,0.9901360968909976,0.9346968950221785,0.9920105833478609,0.9867473287755518,0.9996182526608791,0.9896661686071518
4,train,0.12502816503748615,5.217193365097046,0.9737921099290779,0.9609375,0.9934341755319149,0.9670046542553191,0.9607576340682163,0.9487959442332066,0.9910044977511244,0.9424724602203183,0.960693004830866,0.9331837447020693,0.9892741332002993,0.9596211365902293,0.9606777141130901,0.9409250879839115,0.990138559480714,0.9509694948746449,0.9952054184905713,0.9918466021209408,0.9996568545899482,0.9941127987608248
5,train,0.09942532753809652,5.193346738815308,0.9788896276595745,0.9684175531914894,0.9950964095744681,0.973154920212766,0.9683546520228731,0.9599493029150824,0.9920318725099602,0.9530827806435765,0.9683306033811547,0.9446245946620104,0.9932685115931189,0.967098703888335,0.9683048972039835,0.9522252954488307,0.9926498069017068,0.9600395892614129,0.9963967680369284,0.9939158456479278,0.9997109929989002,0.9955634654639572
6,train,0.08315921841843173,5.265539884567261,0.982103280141844,0.973154920212766,0.9965093085106383,0.9766456117021277,0.9732220048731351,0.969265938531877,0.9937717987045341,0.9566282773829944,0.9731781645385347,0.9497262319561971,0.9957563654518222,0.9740518962075848,0.9731403881220705,0.9593966059082338,0.9947630922693267,0.9652614661886513,0.9975245775368005,0.9957812131408164,0.9997275143850385,0.9970650050845468
7,train,0.06780206409104644,5.881650686264038,0.9859818262411348,0.9789727393617021,0.9972573138297872,0.9817154255319149,0.9789998766813514,0.9732997481108312,0.9965069860279441,0.9671928959052787,0.9789698620015409,0.9633507853403142,0.9952653874906554,0.9782934131736527,0.9789656658582593,0.968299711815562,0.9958857997755891,0.9727114859836269,0.9983931496410289,0.9972708762410665,0.9998855198345742,0.9980230528474457
8,train,0.07339613768767486,5.605556488037109,0.9849844858156028,0.9774767287234043,0.9961768617021277,0.9812998670212766,0.9774617571173788,0.9710546186760635,0.9927896568871208,0.9685409957889521,0.9774818415385474,0.9611360239162929,0.9957605985037407,0.9755489021956087,0.9774583633682785,0.9660698635282334,0.9942729083665338,0.9720323182100684,0.997962541961452,0.9964429808715145,0.9995898125541296,0.9978548324587116
9,train,0.05531795547056468,5.657933712005615,0.9880319148936171,0.9820478723404256,0.9977559840425532,0.9842918882978723,0.9820730557967249,0.9780524722502523,0.9962593516209476,0.9719073435189749,0.9820473949426095,0.9677983025461807,0.99700524082855,0.9813386414530978,0.9820435828018051,0.9728983688833124,0.9966321566670825,0.9766002228550205,0.9988871970548319,0.9981316338475094,0.9999455470061349,0.9985844103108512
10,train,0.05571871438123127,5.69096040725708,0.9894171099290782,0.9842087765957447,0.9966755319148937,0.9873670212765957,0.9841365236193323,0.9782391195597799,0.9957531851111666,0.9784172661870504,0.9841297331792372,0.9743398106626806,0.9942629084559741,0.9837864804190571,0.98412919592419,0.9762855716425362,0.9950074887668497,0.981094527363184,0.9990060476243006,0.9984070780952125,0.9996905566488861,0.998920508128803
