epoch,phase,loss,time_seconds,avg_accuracy,adenocarcinoma_accuracy,benign_accuracy,squamous_cell_carcinoma_accuracy,avg_precision,adenocarcinoma_precision,benign_precision,squamous_cell_carcinoma_precision,avg_recall,adenocarcinoma_recall,benign_recall,squamous_cell_carcinoma_recall,avg_f1,adenocarcinoma_f1,benign_f1,squamous_cell_carcinoma_f1,avg_auc,adenocarcinoma_auc,benign_auc,squamous_cell_carcinoma_auc
1,train,0.31745322171519413,7.290678977966309,0.9341755319148936,0.9051695478723404,0.9832945478723404,0.9140625,0.9057329078676469,0.9205511580181764,0.972001982160555,0.8246455834242093,0.9012534731483433,0.7830423940149626,0.9780603340812765,0.9426576913487908,0.900326792485839,0.8462471365045142,0.9750217472349945,0.8797114937180084,0.979056656626558,0.9672792899327349,0.9974865280558255,0.9724041518911138
2,train,0.08507455278069098,5.846479177474976,0.9807734929078015,0.9711602393617021,0.995595079787234,0.9755651595744681,0.9711621034372686,0.9644940400710119,0.9915506958250497,0.9574415744157442,0.9711625699652077,0.9483790523690773,0.995260663507109,0.9698479940194368,0.971125244819374,0.9563686659122344,0.9934022158595792,0.9636048526863085,0.9971018368886373,0.9951949781492416,0.9994373870308695,0.9966731454858005
3,train,0.04972400141513332,5.911099672317505,0.9886414007092199,0.9829621010638298,0.9980053191489362,0.9849567819148937,0.9829728696824868,0.9767034068136272,0.9970044932601099,0.9752107089737233,0.9829689786296939,0.9720767888307156,0.9970044932601099,0.9798256537982566,0.9829672778447085,0.9743846057728351,0.9970044932601099,0.9775127345011803,0.9991008691196267,0.9985329895213049,0.9999486193087643,0.998820998528811
4,train,0.029922590495651945,5.6692421436309814,0.9942375886524824,0.991439494680851,0.9980884308510638,0.9931848404255319,0.9913579888533216,0.988988988988989,0.9970074812967581,0.9880774962742176,0.9913573495324101,0.9852904512590377,0.9972561736093789,0.9915254237288136,0.991355508350172,0.9871362557761958,0.9971318119466268,0.9897984573276934,0.9996901879930339,0.9994662166885472,0.9999487629214673,0.9996555843690873
5,train,0.020191828335110257,5.716302394866943,0.9961768617021276,0.9942652925531915,0.9993351063829787,0.9949301861702128,0.9942635060333558,0.9925,0.9985056039850561,0.9917849141150112,0.9942647322229963,0.9902718882514343,0.99950137122912,0.9930209371884346,0.9942634908275352,0.9913846922212511,0.9990032394717169,0.9924025407896375,0.9998386999806793,0.9997463018441586,0.9999921049926566,0.9997776931052229
6,train,0.017313284981510343,5.689622640609741,0.9970079787234042,0.995595079787234,0.9993351063829787,0.99609375,0.9955150747336544,0.9952535598301274,0.9987524950099801,0.9925391693608555,0.9955158949983507,0.9915380786460926,0.9992511233150274,0.9957584830339321,0.9955134373298833,0.9933923450941279,0.99900174694285,0.9941462199526716,0.9998759136478014,0.9997963680532688,0.9999900162216182,0.9998413566685174
7,train,0.014090633097363567,5.737253904342651,0.9975620567375886,0.9964261968085106,0.999251994680851,0.9970079787234043,0.9963440467194941,0.9940239043824701,0.9992518703241895,0.9957563654518222,0.9963424556407129,0.9952630266766392,0.9985048592075754,0.9952594810379242,0.9963430553173277,0.9946430796063287,0.9988782251028294,0.9955078612428251,0.9999293487122797,0.9998815127244362,0.999995183380662,0.9999113500317411
8,train,0.01198349524829029,5.671612501144409,0.9977836879432624,0.9966755319148937,0.9988364361702128,0.9978390957446809,0.9966759714258586,0.9950174389636273,0.9980059820538385,0.9970044932601099,0.9966760552133168,0.9950174389636273,0.9985037406483791,0.9965069860279441,0.99667597194327,0.9950174389636273,0.9982547993019197,0.9967556775642625,0.9998947157352265,0.9997904875962318,0.9999286718382304,0.9999649877712172
9,train,0.009591842639991304,5.7066051959991455,0.9983377659574467,0.9975897606382979,0.999750664893617,0.9976728723404256,0.9975073046488826,0.9965043695380774,0.9995009980039921,0.9965165464045782,0.9975075332384761,0.9962556165751373,0.9997504367357125,0.9965165464045782,0.9975074085815271,0.996379977530895,0.9996257018091079,0.9965165464045782,0.9999699990767419,0.9999542487912786,0.9999981652046613,0.9999575832342859
10,train,0.011036528478066333,5.770206689834595,0.9986702127659575,0.9980053191489362,0.999750664893617,0.9982546542553191,0.9980073422205001,0.996268656716418,1.0,0.9977533699450823,0.9980054220306253,0.9977578475336323,0.9992516837116487,0.9970067348465952,0.9980061035048952,0.9970126960418223,0.9996257018091079,0.9973799126637555,0.9999536925512146,0.9999165430347736,0.9999963624161479,0.999948172202722
1,val,0.08257874466168384,0.7074267864227295,0.982638888888889,0.9739583333333334,0.9993489583333334,0.974609375,0.9749558002762785,0.9476534296028881,0.998003992015968,0.9792099792099792,0.9738258706467663,0.9794776119402985,1.0,0.942,0.9741827998708733,0.963302752293578,0.999000999000999,0.9602446483180428,0.998290228394706,0.9973880597014925,0.9999980694980694,0.997484555984556
2,val,0.028415707269838702,0.55513596534729,0.9965277777777778,0.9947916666666666,0.9993489583333334,0.9954427083333334,0.994843093800236,0.9925373134328358,0.998003992015968,0.9939879759519038,0.9948457711442785,0.9925373134328358,1.0,0.992,0.9948437684756093,0.9925373134328358,0.999000999000999,0.992992992992993,0.9998646895829731,0.9997929104477612,0.9999980694980696,0.9998030888030888
3,val,0.020411396799318027,0.5605869293212891,0.9965277777777778,0.9947916666666666,0.9993489583333334,0.9954427083333334,0.9950296209548921,0.9870848708487084,0.998003992015968,1.0,0.9947114427860697,0.9981343283582089,1.0,0.986,0.9948435011015935,0.9925788497217068,0.999000999000999,0.9929506545820745,0.9999757030484643,0.9999309701492537,0.9999980694980695,0.9999980694980695
